,term,definition
76,Rebalancing,Adjusting a portfolio to maintain the desired asset allocation.
77,Required Minimum Distributions (RMDs),IRS-mandated withdrawals from tax-deferred retirement accounts starting at a certain age.
78,Restricted Stock Awards (RSAs) and Restricted Stock Units (RSUs),Equity compensation awarded at a future date upon meeting service requirements.
79,Risk Tolerance,An investor's willingness to take on risk.
80,Robo-Advisor,An automated service creating and managing investment portfolios based on user preferences.
81,Rollover IRA,An IRA allowing funds from an employer-sponsored retirement plan to be transferred without tax penalties.
82,Roth IRA,"A retirement account funded with after-tax dollars, allowing tax-free growth and withdrawals."
83,Sale Price,The market price at which a security is sold.
84,Security,"A tradable financial asset like stocks, bonds, or ETFs."
85,Securities and Exchange Commission (SEC),A U.S. government agency regulating securities markets and protecting investors.
86,Share,"Partial ownership of a company, granting voting rights and potential dividends."
87,Short Selling,Borrowing and selling a security with the intention of buying it back at a lower price.
88,Spread,The difference between an equity award price and the fair market value of stock.
89,Standard and Poor's S&P 500® Index,A stock market index tracking 500 large U.S. companies.
90,Stock Appreciation Rights (SARs),"Equity compensation tied to a company's stock performance, paying out in cash or stock."
91,Stock,"Partial ownership of a company, granting voting rights and potential dividends."
92,Stock Option,The right to buy company stock at a specific price within a set period.
93,Stock Slices,Fractional shares allowing investment based on dollar amounts.
94,Stock Symbol,"A unique identifier for a publicly traded security, also called a ticker symbol."
95,Stock Ticker,The continuously updated price of a security during trading hours.
96,Strike Price,"The price paid per share when exercising stock options, also called award price, grant price, or option price."
97,Tax-Deferred,Contributions and earnings not taxed until withdrawn from a retirement account.
98,Tax-Loss Harvesting,Selling securities at a loss to offset capital gains and reduce taxes.
99,Thematic Investing,"Investing based on trends or themes, such as technology or sustainability."
100,Ticker Symbol,"A unique identifier for a publicly traded security, also called a stock symbol."
101,Time Horizon,The period until an investor plans to withdraw invested funds.
102,Traditional IRA,"A retirement account with pre-tax contributions and tax-deferred growth, taxed upon withdrawal."
103,Underwater,When the award price of stock options exceeds the current market price.
104,Unvested Grant,A grant that has not yet met vesting criteria.
105,Vest/Vesting,The process by which an equity award becomes non-forfeitable.
106,Vested Grant,"A grant that has met vesting criteria, often triggering tax withholding."
107,Vesting Period,The time required for an equity award to vest.
108,Vesting Schedule,A timeline outlining when equity awards vest.
109,Volatility,The fluctuation of a stock's price or market prices.
110,W-8BEN,An IRS form for non-U.S. citizens to certify foreign status and reduce tax withholding.
111,W-9,An IRS form for U.S. persons to certify their Taxpayer Identification Number and exemption from backup withholding.
112,1/1 ARM,"An adjustable-rate mortgage that has a set initial interest rate for the first year. After that period, the mortgage rate adjusts each year. Each annual rate adjustment is based on (or âindexed toâ) another rate, often the yield on a U.S. Treasury note."
113,10/1 ARM,"An adjustable-rate mortgage that has a set initial interest rate for the first 10 years. After that period, the mortgage rate adjusts each year."
114,3/1 Interest-Only ARM,An adjustable rate mortgage in which none of the payments go toward paying off the loan principal for the first three years.
115,3-in-1 Credit Report,"Also called a merged credit report, this type of report includes your credit data from TransUnion, Equifax, and Experian in a side-by-side format for easy comparison."
116,80-10-10 Loan,"A combination of an 80% loan-to-value first mortgage, a 10% home equity loan, and a 10% down payment. The loans can be used to eliminate the need for private mortgage insurance."
117,ACH,"Automated Clearing House. This is a national network that allows for transferring funds electronically between businesses, consumers, and financial institutions."
118,Adjustable Rate Mortgage (ARM),"A home loan where the interest rate is changed periodically based on a standard financial index. ARMâs offer lower initial interest rates with the risk of rates increasing in the future. In comparison, a fixed rate mortgage (FRMâs) offers a higher rate that will not change for the length of the loan. ARMs often have caps on how much the interest rate can rise or fall."
119,Alternative Mortgage,"Any home loan that is not a standard fixed-rate mortgage. This includes ARMâs, reverse mortgages, and jumbo mortgages."
120,Alias,A note on your credit report that indicates other names used for your financial accounts. Sometimes marked as âAlso Known Asâ or âAKA.â This can include maiden names or variations on the spelling and format of your full name.
121,Amortization,The process of gradually repaying a debt with regularly scheduled payments over a period of time.
122,AnnualCreditReport.com,"The official website for obtaining your free credit report disclosures from the credit bureaus, Equifax, Experian, and TransUnion. You have the right to request your credit reports online, by phone, or by mail for free once every 12 months under FACT Act regulations. This free service can only be used once a year and does not include your credit scores."
123,Annual Fee,A charge sometimes required by credit card companies for use of an account. Annual fees range between $10-50 a year and are most common with rewards cards or cards for subprime borrowers.
124,Annual Percentage Rate (APR),"The interest rate being charged on a debt, expressed as a yearly rate. Credit cards often have several different APRsâone for purchases, one for cash advances, and one for balance transfers."
125,Application Fee,"Amount a lender charges to process your loan application documents. Application fees are common with mortgage loans, and many lenders will apply the cost of the application fee towards your closing costs. Application fees are generally non-refundable."
126,Application Scoring,"A specific kind of statistical scoring that businesses use to evaluate an applicant for acceptance or denial. Similar to credit scoring, application scoring often factors in other relevant details such as employment status and income to determine risk."
127,Appraisal Fee,"The amount charged to deliver a professional opinion about how much a property is worth. For a standard home or condominium, this fee is usually around $200-500."
128,Appraised Value,"An educated opinion of how much a property is worth. An appraiser considers the price of similar homes in the area, the condition of the home, and the features of the property to estimate the value."
129,ARM (Adjustable Rate Mortgage),"A mortgage that has an interest rate which changes over the life of the loan, usually increasing at regular intervals."
130,Asset,"Assets are things owned by a person that have cash value. This can include homes, cars, boats, savings, and investments."
131,Authorized User,"Anyone who uses your credit cards or credit accounts with your permission. More specifically, someone who has a credit card from your account with their name on it. An authorized user is not legally responsible for the debt. However, the account may appear on their credit report, which means it may also be included in the authorized user's credit score calculation."
132,Back-End Ratio or Back Ratio,"The sum of your monthly mortgage payment and all other monthly debts (credit cards, car payments, student loans, etc.) divided by your monthly pre-tax income. Traditionally, lenders wouldnt give people loans that increased this ratio past 36%, but they often do now. (See Debt-to-Income Ratio)"
133,Balance Transfer,The process of moving all or part of the outstanding balance on one credit card to another account. Credit card companies often offer special rates for balance transfers.
134,Balance Transfer Fee,The fee charged customers for transferring an outstanding balance from one credit card to another. Card issuers offer teaser rates to encourage balance transfers.
135,Balloon Payment,"A loan where the payments dont pay off the principal in full by the end of the term. When the loan term expires (usually after 5-7 years), the borrower must pay a balloon payment for the remaining amount or refinance. Balloon loans sometimes include convertible options that allow the remaining amount to automatically be transferred into a long-term mortgage. (See Convertible ARM)"
136,Bankruptcy,A proceeding that legally releases a person from repaying a portion or all debts owed. Bankruptcy damages your credit for 7-10 years and should only be considered as a last resort if you cannot repay your debts. (See Chapter 7-13 Bankruptcy)
137,Beacon Score,"The name of the FICO score from Equifax. There are thousands of slightly different credit scoring formulas used by bankers, lenders, creditors, insurers, and retailers. Each score can vary somewhat in how it evaluates your credit data."
138,Bi-Weekly Mortgage,A mortgage that schedules payments every two weeks instead of the standard monthly payment. The 26 bi-weekly payments are each equal to one-half of a monthly payment. The result is that the mortgage is paid off sooner.
139,Broker Premium,The amount a mortgage broker is paid for serving as the middleman between a lender and a borrower. This premium comes from the surcharge a broker applies to a discounted loan before offering it to a borrower.
140,Borrower,The individual who is requesting the loan and who will be responsible for paying it back.
141,Cardholder,The person who is issued a credit card and/or any authorized users.
142,Cash Advance,"A cash loan requested from your creditor, usually by using your credit card at an ATM machine or through a loan advance on your paycheck. These loans include special interest rates charged on the amount of the advance."
143,Cash Advance Fee,A charge by the bank for using credit cards to obtain cash from the available cash. This fee can be stated in terms of a flat per transaction fee or a percentage of the amount of cash advance.
144,Cash-Out Refinance,A new mortgage for an existing property in which the amount borrowed is greater than the amount of the previous mortgage. The difference is given to the borrower in cash when the loan is closed.
145,Chapter 7 Bankruptcy,"A type of consumer bankruptcy where your responsibility for your debts is cleared entirely. With this kind of bankruptcy, you are not required to pay back debts you owe from before your filing. To qualify for a Chapter 7 bankruptcy, your income must be below your state's median income. Chapter 7 bankruptcy filing records remain on your credit report for 10 years, and the record of each account included in your filing will remain on your report for 7 years."
146,Chapter 11 Bankruptcy,A complex type of bankruptcy usually filed by businesses that wish to restructure their debts.
147,Chapter 12 Bankruptcy,A type of bankruptcy specifically for farmers and fishermen. Similar to Chapter 13 bankruptcy but with a few special benefits.
148,Chapter 13 Bankruptcy,A type of bankruptcy where the consumer must pay off some of their debts over time. Chapter 13 bankruptcy filing records remain on your credit report for 7 years from the discharge date or 10 years from the filing date if it is not discharged. Each account included in the filing will remain on your report for 7 years.
149,Charge-Off,"When a creditor or lender writes off the balance of a delinquent debt, no longer expecting it to be repaid. A charge-off is also known as a bad debt. Charge-off records remain on your credit report for 7 years and will harm your credit score. After a debt is charged-off, it can be sold to a collections agency."
150,ChexSystems,"A credit reporting company that tracks your banking history and provides this data to banks when you apply for a new checking account. Negative records, such as bounced checks, can be kept in their database for up to five years. If there are errors on your ChexSystems record, you can contact the company to submit a dispute."
151,Closing Costs,"The amounts charged to a consumer when they are transferring ownership or borrowing against a property. Closing costs include lender, title, and escrow fees and usually range from 3-6% of the purchase price."
152,Collateral,An asset or property used as security against a loan. (See Secured Credit Card)
153,Collections,"When a business sells your debt for a reduced amount to an agency in order to recover the amounts owed. Credit card debts, medical bills, cell phone bills, utility charges, library fees, and video store fees are often sold to collections. Collection agencies attempt to recover past-due debts by contacting the borrower via phone and mail. Collection records can remain on your credit report for 7 years from the last 180-day late payment on the original debt. Your rights are defined by the Fair Debt Collection Practices Act."
154,Combined Loan-to-Value Ratio (CLTV),"The total amount you are borrowing in mortgage debts divided by the homes fair market value. Someone with a $50,000 first mortgage and a $20,000 equity line secured against a $100,000 house would have a CLTV ratio of 70%."
155,Commitment Fee,A fee paid by a borrower to a lender in exchange for a promise to lend money on certain terms for a specified period. Usually charged in order to extend a loan approval offer for longer than the 30-60 day standard period. Quality lenders dont usually charge these fees.
156,Conforming Loan,"A mortgage that meets the requirements for purchase by Fannie Mae and Freddie Mac. Requirements include size of the loan, type, and age. Current loan size limits for single-family homes range between $200,000 and $400,000. Loans that exceed the conforming size are considered jumbo mortgages and usually have higher interest rates."
157,Co-Signer,An additional person who signs a loan document and takes equal responsibility for the debt. A borrower may want to use a co-signer if their credit or financial situation is not good enough to qualify for a loan on their own. A co-signer is legally responsible for the loan and the shared account will appear on their credit report.
158,Convenience Check,Checks provided by your credit card company that you can use to access your available credit. These checks often have different rates and terms than your standard credit card charges.
159,Convertible ARM,An adjustable-rate mortgage that can be converted to a fixed-rate mortgage under specified conditions.
160,Credit Bureaus,"Also known as credit reporting agencies, these companies collect information from creditors and lenders about consumer financial behavior. This data is then provided to businesses that want to evaluate how risky it would be to lend money to a potential borrower. Once a low-tech system of regional credit reporting agencies, the industry is now consolidated into the three national credit bureaus - Equifax, Experian, and TransUnion."
161,Credit Counseling,"A service that helps consumers repay their debts and improve their credit. Usually non-profit companies, most of these agencies offer helpful and affordable services. Consumers should be aware that there are also credit counseling agencies that are expensive, ineffective, and even damaging to the clients credit (see Credit Repair). Consumers should carefully review the companys reputation and services before signing up."
162,Credit File,Another term for your credit report. The term credit file is usually used to indicate the full record of your credit history maintained by a credit bureau. Your credit report may not include all the information in your credit file.
163,Credit History,Another term for the information on your credit report. Your credit history is a record of how you have repaid your credit obligations in the past.
164,Credit Insurance,"Protection against loss of life, disability, unemployment, etc. Pays or cancels your monthly payments for a time period if the consumer loses their job through no fault of their own. Policies and protection plans vary. Usually, the monthly fee is based on the amount of the credit card balance."
165,Credit Limit,The total amount that a company will allow you to charge to a credit card or credit line. Its best for your credit score to keep your credit card balances below 10% of your credit limit.
166,Credit Obligation,An agreement where a person becomes legally responsible for paying back borrowed money.
167,Credit Repair,"A generally unscrupulous or illegal form of credit counseling that promises the impossible, such as erasing accurate records from your credit report."
168,Credit Report,"The individual records of consumer financial behavior kept by credit bureaus and provided to businesses when they want to evaluate potential borrowers. Credit reports include records on consumer names, current and former addresses, employment, credit and loan histories, inquiries, collection records, and public records such as bankruptcy filings and tax liens."
169,Credit Score,"A numerical evaluation of your credit history used by businesses to quickly understand how risky a borrower you are. Credit scores are calculated using complex mathematical formulas that look at your most current payment history, debts, credit history, inquiries, and other factors from your credit report. Credit scores usually range from 300-850, the higher the score, the better. There are thousands of slightly different credit scoring formulas used by bankers, lenders, creditors, insurers, and retailers. Each score can vary somewhat in how it evaluates your credit data."
170,Debt,The amount of money owed.
171,Debt Consolidation,"A process of combining debts into one loan or repayment plan. Debt consolidation can be done on your own, with a financial institution, or through a counseling service. Student loans are often consolidated in order to secure a lower interest rate. (See Debt Counseling and Debt Settlement)."
172,Debt Counseling,"A type of credit counseling that focuses specifically on helping people with debt issues. Instead of consolidating debts into one loan, debt counseling agencies negotiate with your creditors using pre-set agreements and spread your payments over a longer period in order to reduce the monthly amount due. Usually non-profit companies, most of these agencies offer helpful and affordable services. Consumers should be aware that there are also debt counseling agencies that are expensive, ineffective, and even damaging to the clients credit score (see Credit Repair)."
173,Debt Management Plan,"A repayment plan that helps consumers pay off their debts over a set period of time with consolidated payments, often with reduced monthly payments, interest rates, and fees."
174,Debt Settlement,"A process where you pay an agency to negotiate directly with your creditors in the hopes of making significantly reduced settlements for your debts. Working with a debt settlement company can result in damaged credit from numerous late payments and collection records. Consumers should fully investigate the practices, reputation, and costs of working with a debt settlement company before signing up."
175,Debt-to-Available-Credit Ratio,"The amount of money you owe in outstanding debts compared to the total amount of credit you have available through all credit cards and credit lines. This ratio measures how much of your available credit you are using. The higher your debt-to-available-credit ratio, the riskier you appear to potential lenders."
176,Debt-to-Income Ratio,"The percentage of your monthly pre-tax income that is used to pay off debts such as auto loans, student loans, and credit card balances. Lenders look at two ratios: The front-end ratio is the percentage of monthly pre-tax earnings that are spent on house payments. In the back-end ratio, the borrowers other debts are factored in along with the house payments."
177,Default,The status of a debt account that has not been paid. Accounts are usually listed as being in default after they have been reported late (delinquent) several times. Defaults are a serious negative item on a credit report.
178,Default Purchase Rate,"If you default on your account, your card issuer may sell your debt to another company or collection agency. If that happens, you could be responsible for a different, and higher rate."
179,Deficiency,Any amount one still owes on a contract after the creditor sells the collateral and applies the proceeds to the unpaid obligation.
180,Delinquency,"A term used for late payment or lack of payment on a loan, debt, or credit card account. Accounts are usually referred to as 30, 60, 90, or 120 days delinquent because most lenders have monthly payment cycles. Delinquencies remain on your credit report for 7 years and are damaging to your credit score."
181,Demand Draft Checks,A type of electronic check that can be created online by entering account numbers listed on the bottom of a personal check and that can be cashed without a signature. This system was originally designed to help telemarketers take check payments over the phone. Now it is one of the fastest-growing fraud tools.
182,Dispute,"The process of submitting a request to the credit bureaus to have an error on your credit report corrected. Disputes are investigated and updates made to your credit report over a 30-day period. If your correction is made, you will receive a letter from the credit bureaus and a copy of your updated credit report. If your dispute is rejected, you will receive a letter explaining why the credit bureau could not verify the correction."
183,Divorce Decree,"A court order that grants a divorce and outlines terms for child support, alimony, and the separation of assets. While a divorce decree may define responsibility for shared debts (your spouse pays the car loan, you pay the mortgage), it does not legally separate responsibility for these accounts. To stop double responsibility and credit reporting of shared accounts, the debts must be closed or refinanced directly with the lender."
184,Double Billing Cycle,"The practice of 2-cycle billing was made illegal by the Credit CARD Act of 2009, which went into effect in late February 2010. Some companies used to employ a double billing cycle, meaning that while the due date on your statement refers to your minimum payment, the due date to pay off your entire balance is different. If that due date was two weeks earlier, and you paid off your entire balance by the due date stated on your bill, the company could still charge you interest for the two-week interim period."
185,Empirica Score,"A credit score variant where a co-signer is legally responsible for the loan, and the shared account appears on their credit report. There are thousands of slightly different credit scoring formulas used by bankers, lenders, creditors, insurers, and retailers. Each score can vary in how it evaluates credit data."
186,Equal Credit Opportunity Act (ECOA),"A law that protects consumers from discrimination based on race, sex, public assistance income, age, marital status, nationality, or religion in the credit and lending process."
187,Equifax,One of the three national credit bureaus (also known as credit reporting agencies) that collect and provide consumer financial records.
188,Equity,The fair market value of a home minus the unpaid mortgage principal and liens. Homeowners build up equity as they pay down their mortgage and as the property value increases. Also called the lendable value or net value.
189,Experian,"One of the three national credit bureaus that collect and provide consumer financial records. Experian (formerly known as TRW) operates ConsumerInfo, FreeCreditScore, and CreditExpert brands."
190,Expiration Term,The set number of years that a record will remain on your credit report as mandated by the FCRA. Most negative records stay on your credit report for 7-10 years. The shortest expiration term is two years for inquiry records. The longest expiration term is 15 years for paid tax liens or indefinitely for unpaid tax liens. Positive information can also stay on your credit report indefinitely.
191,Fair and Accurate Credit Transaction (FACT) Act,"The FACT Act, signed into law in December 2003, includes consumer credit industry regulations. This law requires credit bureaus to provide all U.S. residents with a free copy of their credit report once every 12 months. It also includes new privacy regulations, identity theft protections, and dispute procedure requirements."
192,Fannie Mae,"The largest mortgage investor. A government-sponsored enterprise that buys mortgages from lenders, bundles them into investments, and sells them on the secondary mortgage market. Formerly known as the Federal National Mortgage Association."
193,Federal Housing Administration (FHA),A division of the Department of Housing and Urban Development (HUD) that provides mortgage insurance and sets construction and underwriting standards.
194,FICO Score,"A specific credit score developed by Fair Isaac Corporation. Thousands of slightly different credit scoring formulas are used by bankers, lenders, creditors, insurers, and retailers. Each score can vary somewhat in how it evaluates credit data."
195,File Freeze,"Consumers can request that credit bureaus freeze their credit reports, stopping new credit from being issued in their name by blocking creditors, lenders, insurers, and other companies from accessing credit data. In some cases, a $10 fee per credit bureau is required to process the freeze. The freeze can also be temporarily or permanently undone for an additional fee."
196,Finance Charge,"The total cost of using credit. Besides interest charges, the finance charge may include other costs such as cash-advance fees."
197,First Mortgage,The primary loan on a real estate property. This loan has priority over all other secondary loans.
198,Fixed Expense,"Expenses that don't change from month to month, such as rent, mortgage payments, and car payments."
199,Fixed Rate,An interest rate for a credit card or loan that remains constant over time.
200,Fixed-Rate Option,"A home equity line of credit financing option that allows borrowers to specify the payments and interest on a portion of their balance. This can be done a few times during the life of the loan, usually for an additional fee."
201,Fixed Rate Mortgage (FRM),A mortgage with an interest rate that remains constant for the entire duration of the loan. FRMs have longer terms (15-30 years) and higher interest rates than adjustable-rate mortgages but are not at risk for changing interest rates.
202,Foreclosure,"When a borrower is in default on a loan or mortgage, the creditor can enact a legal process to claim ownership of the collateral property. Foreclosure usually involves a forced sale of the property where the proceeds go toward paying off the debt."
203,Fraud Alert,"If you suspect identity theft, you may contact credit bureaus to request a 90-day fraud alert on your credit reports. This alert notifies potential creditors that your identity may have been stolen and suggests extra verification steps before opening new accounts. Victims of identity theft can request an extended 7-year alert with proper documentation, such as a police report. Military personnel on active duty may request a special 1-year fraud alert."
204,Freddie Mac,"Formerly known as the Federal Home Loan Mortgage Corporation, this is a government-sponsored firm that buys mortgages from lenders, pools them with other loans, and sells them to investors."
205,Front-End Ratio or Front Ratio,A calculation of the percentage of your monthly pre-tax income that goes toward a house payment. The general rule is that your front ratio shouldnt exceed 28%.
206,Garnishment,"When a creditor receives legal permission to take a portion of your assets (bank account, salary, etc.) to repay a delinquent debt."
207,Ginnie Mae,"Also known as the Government National Mortgage Association. A part of the Department of Housing and Urban Development that buys mortgages from lending institutions and pools them to form securities, which it then sells to investors."
208,Grace Period,"A period of time, often about 25 days, during which you can pay your credit card bill without incurring a finance charge. With most credit card accounts, the grace period applies only if you pay your balance in full each month. If your account has no grace period, interest is charged on a purchase as soon as it is made."
209,Gross Income,Your total income before any taxes or other deductions are applied.
210,Hard Inquiry,"A record of a business request to see your credit report data for a credit application. Hard inquiries appear on your credit report each time you apply for a credit card, loan, or cell phone plan. Hard inquiries remain on your credit report for 2 years but are only included in your credit score for the first 12 months."
211,High-LTV Equity Loan,"A home loan that causes the loan-to-value ratio to be 125% or more. When the total principal of a loan exceeds the fair market value of the home, the interest paid on the portion above that value may not be tax-deductible."
212,Home Equity Line of Credit (HELOC),"A revolving loan backed by the homeowner's equity, allowing borrowers to access funds as needed, similar to a credit card. HELOCs often offer lower interest rates but carry the risk of foreclosure if not repaid."
213,Home Equity,The portion of a home's value that the mortgage borrower owns outright. This is the difference between the fair market value of the home and the principal balances of all mortgage loans.
214,Home Ownership and Equity Protection Act,A law designed to discourage predatory lending in mortgages and home equity loans.
215,Housing Expense Ratio,The percentage of your monthly pre-tax income that goes toward your house payment. The general rule is that this ratio shouldnt exceed 28%. This is also known as the front ratio.
216,Individual Taxpayer Identification Number (ITIN),"A nine-digit identification number issued by the IRS to taxpayers without a Social Security number, such as non-US citizens. It can be used to apply for credit, loans, or access credit reports."
217,Income Verification,Proof of an applicants income required for loan applications.
218,Inquiry,"A record on a credit report showing when a creditor or potential creditor requests credit report data. Includes Soft, Promotional, and Hard Inquiries."
219,Installment Account,"A loan type where the borrower makes fixed monthly payments, such as personal or auto loans. Mortgages are also installment accounts but often classified as real-estate accounts."
220,Installment Debt,"Debt repaid with a fixed number of equal payments, like an auto loan."
221,Interest Rate Cap,"A limit on how much a borrowers interest rate can increase or decrease during rate adjustment periods or over the loans life, commonly used in Adjustable Rate Mortgages (ARMs)."
222,Interest Rate,"The cost of credit expressed as a percentage. For variable-rate credit cards, it is tied to another rate; for fixed-rate cards, it can still change over time."
223,Interest,"The money paid by a borrower for the ability to borrow, calculated as a percentage of the loan amount and paid over a specified time."
224,Interest-Only Loan,"A loan where payments cover only the interest, not the principal. Typically has a 1-5 year term."
225,Introductory Rate,"A temporary, low interest rate offered on credit cards to attract customers. Must remain in effect for at least 6 months under the CARD Act."
226,Joint Account,"An account shared by two or more people, with each person legally responsible for the debt. Reported on each persons credit report."
227,Judgment,A court decision requiring a person to pay a debt or penalty. Judgments remain on credit reports for 7 years and significantly harm credit scores.
228,Jumbo Mortgage,"A loan exceeding Fannie Mae and Freddie Mac limits (usually over 200,000?200,000?400,000). Often has higher interest rates than standard loans."
229,Late Fee,A fee charged for paying late or less than the minimum payment due.
230,Late Payment,A delinquent payment that harms credit scores for up to 7 years and incurs late payment charges.
231,Late Payment Charge,"A fee charged by creditors for payments made after the due date, typically ranging from 10?10?50."
232,Lender,The individual or financial institution providing a loan.
233,Lien,"A legal claim against property (e.g., car, house) as security for a debt. Unpaid liens can remain on credit reports indefinitely or for 15 years if paid."
234,Loan Origination Fee,"A fee charged by lenders for underwriting a loan, often expressed in points (1% of the loan amount)."
235,Loan Processing Fee,A fee charged for accepting a loan application and gathering supporting paperwork.
236,Loan-to-Value Ratio (LTV),The percentage of a homes price financed with a loan. A lower LTV (below 80%) typically results in better loan terms.
